Date,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
5/15/97 16:00,1.96,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/16/97 16:00,1.73,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/19/97 16:00,1.71,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/20/97 16:00,1.64,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/21/97 16:00,1.43,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/22/97 16:00,1.4,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/23/97 16:00,1.5,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/27/97 16:00,1.58,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/28/97 16:00,1.53,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/29/97 16:00,1.51,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
5/30/97 16:00,1.5,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/2/97 16:00,1.51,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/3/97 16:00,1.48,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/4/97 16:00,1.42,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/5/97 16:00,1.54,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/9/97 16:00,1.69,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
6/10/97 16:00,1.58,28000000,23000000,5000000,0.178571,3000000,10000000,0,0,13000000,36000000,0,1000000,-7000000,-0.25,-8000000,-0.285714,0,-8000000,-0.285714,0,-8000000,-0.285714,-0.03,-0.03,256000000,256000000
