Date,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1/2/80 16:00,5.35,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/3/80 16:00,5.35,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/4/80 16:00,5.38,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/7/80 16:00,5.4,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/8/80 16:00,5.57,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/9/80 16:00,5.52,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/10/80 16:00,5.52,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/11/80 16:00,5.64,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/14/80 16:00,5.91,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/15/80 16:00,5.97,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/16/80 16:00,5.97,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/17/80 16:00,5.88,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/18/80 16:00,5.73,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/21/80 16:00,5.81,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/22/80 16:00,5.79,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/23/80 16:00,5.88,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/24/80 16:00,5.83,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/25/80 16:00,5.79,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/28/80 16:00,5.79,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/29/80 16:00,5.73,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/30/80 16:00,5.77,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
1/31/80 16:00,5.69,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/1/80 16:00,5.71,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/4/80 16:00,5.83,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/5/80 16:00,5.71,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/6/80 16:00,5.68,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/7/80 16:00,5.69,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/8/80 16:00,5.79,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/11/80 16:00,5.81,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/12/80 16:00,5.73,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/13/80 16:00,5.74,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/14/80 16:00,5.83,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/15/80 16:00,5.69,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/19/80 16:00,5.69,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/20/80 16:00,5.81,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/21/80 16:00,5.73,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/22/80 16:00,5.71,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/25/80 16:00,5.43,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/26/80 16:00,5.47,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/27/80 16:00,5.53,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/28/80 16:00,5.52,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
2/29/80 16:00,5.57,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/3/80 16:00,5.57,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/4/80 16:00,5.53,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/5/80 16:00,5.36,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/6/80 16:00,5.23,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/7/80 16:00,5.27,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
3/10/80 16:00,5.18,10280000000,6661000000,3619000000,0.352043,0,2976000000,0,0,9637000000,0,6661000000,-41000000,7493000000,0,643000000,0,0,643000000,0,172000000,701000000,0,0.26,0.26,1577000000,1577000000
