Date,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
10/24/91 16:00,1.14,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
10/25/91 16:00,1.17,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
10/28/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
10/29/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
10/30/91 16:00,1.29,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
10/31/91 16:00,1.27,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/1/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/4/91 16:00,1.24,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/5/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/6/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/7/91 16:00,1.26,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/8/91 16:00,1.24,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/11/91 16:00,1.25,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
11/12/91 16:00,1.27,40400000,4900000,35400000,0.876238,0,23400000,0,7200000,32600000,37500000,-500000,0,1600000,0.039604,2900000,0.071782,-200000,2200000,0.054455,800000,1300000,0.032178,0.02,0.02,61200000,61200000
