Date,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
6/29/10 16:00,4.78,28400000,22100000,6300000,0.221831,15400000,22200000,0,0,37700000,59800000,-400000,2500000,-36400000,-1.28169,-31400000,-1.105634,-6700000,-38500000,-1.355634,0,-38500000,-1.355634,-5.04,-5.04,7600000,7600000
6/30/10 16:00,4.77,28400000,22100000,6300000,0.221831,15400000,22200000,0,0,37700000,59800000,-400000,2500000,-36400000,-1.28169,-31400000,-1.105634,-6700000,-38500000,-1.355634,0,-38500000,-1.355634,-5.04,-5.04,7600000,7600000
7/1/10 16:00,4.39,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/2/10 16:00,3.84,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/6/10 16:00,3.22,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/7/10 16:00,3.16,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/8/10 16:00,3.49,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/9/10 16:00,3.48,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/12/10 16:00,3.41,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
7/13/10 16:00,3.63,31200000,21900000,9300000,0.298077,26700000,20400000,0,3180000,47200000,69100000,298000,3100000,-31402000,-1.006474,-37800000,-1.211538,3200000,-34900000,-1.11859,100000,-34900000,-1.11859,-0.38,-0.38,92300000,92300000
