Date,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
11/21/83 16:00,7.91,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/22/83 16:00,7.88,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/23/83 16:00,7.84,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/25/83 16:00,7.76,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/28/83 16:00,7.54,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/29/83 16:00,7.46,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
11/30/83 16:00,7.46,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/1/83 16:00,7.47,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/2/83 16:00,7.45,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/5/83 16:00,7.36,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/6/83 16:00,7.39,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/7/83 16:00,7.46,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/8/83 16:00,7.47,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/9/83 16:00,7.49,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/12/83 16:00,7.5,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/13/83 16:00,7.62,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/14/83 16:00,7.64,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/15/83 16:00,7.59,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/16/83 16:00,7.63,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/19/83 16:00,7.6,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/20/83 16:00,7.56,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/21/83 16:00,7.52,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/22/83 16:00,7.42,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/23/83 16:00,7.38,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/27/83 16:00,7.33,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/28/83 16:00,7.39,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/29/83 16:00,7.38,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
12/30/83 16:00,7.35,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
1/3/84 16:00,7.56,2768000000,1616000000,1152000000,0.416185,0,0,0,0,562000000,2178000000,-133000000,562000000,905000000,0.326951,591000000,0.213512,18000000,476000000,0.171965,145000000,331000000,0.119581,0.42,0.42,787000000,787000000
