Date,CPI,DGS10,INDPRO,FED_FUNDS_RATE,GDP
1962-10-01,30.38,3.93,26.3912,3.0,612.28
1963-04-01,30.48,3.95,27.4159,3.0,629.752
1963-07-01,30.69,4.01,27.7205,3.0,644.444
1963-10-01,30.75,4.07,28.2466,3.5,653.938
1964-04-01,30.95,4.23,29.2436,3.5,678.674
1964-07-01,31.02,4.15,29.6867,3.5,692.0310000000001
1964-10-01,31.12,4.18,29.5759,3.5,697.319
1965-04-01,31.38,4.2,31.9298,4.13,730.191
1965-07-01,31.58,4.2,32.7329,4.13,749.323
1965-10-01,31.65,4.36,33.2868,4.13,771.857
1966-04-01,32.28,4.7,34.9206,4.75,804.9810000000001
1966-07-01,32.45,4.99,35.6129,5.5,819.638
1968-04-01,34.4,5.64,37.6518,5.5,934.3439999999999
1968-07-01,34.9,5.62,38.1554,6.13,950.825
1968-10-01,35.3,5.49,38.483000000000004,6.0,968.03
1969-04-01,36.3,6.25,39.7559,6.63,1009.02
1969-07-01,36.8,6.75,40.2037,8.75,1029.9560000000001
1969-10-01,37.3,7.52,40.2988,8.0,1038.147
1970-04-01,38.5,7.04,38.8979,8.0,1067.375
1970-07-01,38.9,7.64,38.8219,7.0,1086.059
1970-10-01,39.4,7.29,37.7157,6.5,1088.608
1971-04-01,40.1,5.58,38.7441,4.0,1156.271
1971-07-01,40.6,6.69,38.9905,5.25,1177.675
1971-10-01,40.9,6.0,39.6891,5.38,1190.297
1973-10-01,45.6,6.91,47.0954,10.9,1476.289
1974-04-01,48.1,7.42,46.6069,10.01,1530.056
1974-07-01,49.3,7.65,46.9464,14.33,1560.026
1974-10-01,51.0,7.97,46.3401,11.3,1599.6789999999999
1975-04-01,53.0,8.08,41.246,5.48,1651.8529999999998
1975-07-01,54.0,7.97,41.8234,6.12,1709.82
1975-10-01,54.9,8.47,42.9687,6.24,1761.8310000000001
1976-04-01,56.1,7.68,44.9643,4.83,1852.332
1976-07-01,57.0,7.88,45.4535,5.58,1886.558
1976-10-01,57.9,7.49,45.9207,5.32,1934.273
1977-04-01,60.0,7.43,48.5838,4.72,2055.909
1977-07-01,60.8,7.34,49.412,5.36,2118.473
1979-10-01,75.2,9.51,53.239,12.06,2723.883
1980-04-01,80.9,12.69,52.2336,19.79,2797.3520000000003
1980-07-01,82.6,10.13,49.9462,9.47,2856.4829999999997
1980-10-01,84.7,11.78,51.5813,13.05,2985.5570000000002
1981-04-01,89.1,13.14,52.2691,14.51,3162.532
1981-07-01,91.5,14.04,53.1751,21.09,3260.6090000000004
1981-10-01,93.4,15.75,52.4949,16.96,3280.8179999999998
1982-04-01,95.0,14.1,50.4627,15.48,3331.972
1982-07-01,97.5,14.4,49.8138,14.73,3366.322
1982-10-01,98.1,11.51,48.7874,10.87,3402.5609999999997
1983-07-01,99.8,10.93,51.2733,9.31,3689.179
