date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,88912000000,52660000000,36252000000,0.407729,10388000000,19731000000,4345000000,290000000,30409000000,83069000000,403000000,5748000000,12378000000,0.139216,5843000000,0.065717,646000000,6221000000,0.069968,984000000,5243000000,0.058968,16.91612,16.91612,509000000,509000000
2020-03-31_Q1,75452000000,44257000000,31195000000,0.413442,9325000000,17811000000,4828000000,70000000,27206000000,71463000000,402000000,5362000000,9043000000,0.119851,3989000000,0.052868,-406000000,3383000000,0.044836,744000000,2535000000,0.033598,5.00988,5.00988,506000000,506000000
2019-12-31_Q4,87436000000,53977000000,33459000000,0.382668,9740000000,19775000000,6171000,65000000,29580000000,83557000000,455000000,6170000000,10679000000,0.122135,3879000000,0.044364,418000000,4053000000,0.046354,786000000,3268000000,0.037376,6.47129,6.47129,505000000,505000000
2019-09-30_Q3,69981000000,41302000000,28679000000,0.409811,9200000000,16267000000,4752000000,55000000,25522000000,66824000000,396000000,5563000000,8587000000,0.122705,3157000000,0.045112,-353000000,2632000000,0.03761,494000000,2134000000,0.030494,4.23413,4.23413,504000000,504000000
2019-06-30_Q2,63404000000,36337000000,27067000000,0.426897,9065000000,14832000000,4291000000,86000000,23983000000,60320000000,383000000,5202000000,8467000000,0.13354,3084000000,0.04864,-27000000,2889000000,0.045565,257000000,2625000000,0.041401,5.21869,5.21869,503000000,503000000
2019-03-31_Q1,59700000000,33920000000,25780000000,0.431826,7927000000,13438000000,3664000000,-5000000,21360000000,55280000000,366000000,4854000000,9617000000,0.161089,4420000000,0.074037,164000000,4401000000,0.073719,836000000,3561000000,0.059648,7.09363,7.09363,502000000,502000000
2018-12-31_Q4,72383000000,44786000000,27597000000,0.381264,7669000000,16057000000,4912000000,85000000,23811000000,68597000000,387000000,4262000000,8160000000,0.112734,3786000000,0.052305,-199000000,3350000000,0.046282,484000000,3027000000,0.041819,5.74,5.74,500000000,500000000
2018-09-30_Q3,56576000000,33003000000,23573000000,0.416661,7162000000,12619000000,3302000000,68000000,19849000000,52852000000,357000000,3778000000,7526000000,0.133025,3724000000,0.065823,-93000000,3390000000,0.059919,508000000,2883000000,0.050958,5.75,5.75,501000000,501000000
2018-06-30_Q2,52886000000,30632000000,22254000000,0.420792,7247000000,11944000000,2901000000,80000000,19271000000,49903000000,343000000,3630000000,6581000000,0.124437,2983000000,0.056404,-129000000,2605000000,0.049257,74000000,2534000000,0.047914,5.07,5.07,500000000,500000000
2018-03-31_Q1,51042000000,30735000000,20307000000,0.397849,6759000000,11558000000,2699000000,63000000,18380000000,49115000000,330000000,3671000000,5917000000,0.115924,1927000000,0.037753,239000000,1916000000,0.037538,287000000,1629000000,0.031915,3.27,3.27,498000000,498000000
2017-12-31_Q4,60453000000,38495000000,21958000000,0.363224,6314000000,13458000000,3440000000,59000000,19831000000,58326000000,338000000,3498000000,6496000000,0.107455,2127000000,0.035184,17000000,1871000000,0.03095,803000000,1857000000,0.030718,2.15,2.15,496000000,496000000
2017-09-30_Q3,43744000000,27549000000,16195000000,0.370222,5944000000,9859000000,2479000000,45000000,15848000000,43397000000,228000000,2912000000,3454000000,0.078959,347000000,0.007933,143000000,316000000,0.007224,58000000,256000000,0.005852,0.52,0.52,494000000,494000000
2017-06-30_Q2,37955000000,23451000000,14504000000,0.382137,5549000000,8261000000,2230000000,66000000,13876000000,37327000000,143000000,2633000000,3440000000,0.090634,628000000,0.016546,137000000,666000000,0.017547,467000000,197000000,0.00519,0.4,0.4,492000000,492000000
2017-03-31_Q1,35714000000,22440000000,13274000000,0.371675,4813000000,7412000000,1920000000,44000000,12269000000,34709000000,139000000,2435000000,3527000000,0.098757,1005000000,0.02814,48000000,953000000,0.026684,229000000,724000000,0.020272,1.48,1.48,490000000,490000000
2016-12-31_Q4,43741000000,28959000000,14782000000,0.337944,4544000000,8949000000,2513000000,34000000,13527000000,42486000000,133000000,2297000000,3592000000,0.08212,1255000000,0.028692,15000000,1166000000,0.026657,413000000,749000000,0.017124,1.54,1.54,487000000,487000000
2016-09-30_Q3,32714000000,21260000000,11454000000,0.350125,4135000000,6712000000,1738000000,32000000,10879000000,32139000000,118000000,2083000000,2682000000,0.081983,575000000,0.017577,8000000,491000000,0.015009,229000000,252000000,0.007703,0.52,0.52,485000000,485000000
2016-06-30_Q2,30404000000,19180000000,11224000000,0.369162,3880000000,6004000000,1546000000,55000000,9939000000,29119000000,116000000,1909000000,3189000000,0.104888,1285000000,0.042264,-14000000,1179000000,0.038778,307000000,857000000,0.028187,1.77,1.77,483000000,483000000
2016-03-31_Q1,29128000000,18866000000,10262000000,0.352307,3526000000,5620000000,1436000000,45000000,9191000000,28057000000,117000000,1827000000,2932000000,0.100659,1071000000,0.036769,81000000,1056000000,0.036254,475000000,513000000,0.017612,1.07,1.07,481000000,481000000
2015-12-31_Q4,35747000000,24341000000,11406000000,0.319076,3569000000,6693000000,57000000,35000000,10297000000,34638000000,115000000,1752000000,2801000000,0.078356,1109000000,0.031024,-69000000,938000000,0.02624,452000000,482000000,0.013484,1,1,480000000,480000000
2015-09-30_Q3,25358000000,16755000000,8603000000,0.339262,3197000000,4957000000,49000000,43000000,8197000000,24952000000,116000000,1599000000,1955000000,0.077096,406000000,0.016011,-56000000,247000000,0.009741,161000000,79000000,0.003115,0.17,0.17,478000000,478000000
2015-06-30_Q2,23185000000,15160000000,8025000000,0.346129,3020000000,4493000000,84000000,48000000,7561000000,22721000000,113000000,1504000000,1975000000,0.085184,464000000,0.020013,0,362000000,0.015614,266000000,92000000,0.003968,0.19,0.19,476000000,476000000
2015-03-31_Q1,22717000000,15395000000,7322000000,0.322314,2754000000,4269000000,1083000000,44000000,7067000000,22462000000,115000000,1426000000,1555000000,0.068451,255000000,0.011225,-130000000,21000000,0.000924,71000000,-57000000,-0.002509,-0.12,-0.12,465000000,465000000
2014-12-31_Q4,29328000000,20671000000,8657000000,0.295179,2635000000,5392000000,34000000,39000000,8066000000,28737000000,74000000,1380000000,1873000000,0.063864,591000000,0.020151,-96000000,429000000,0.014628,205000000,214000000,0.007297,0.45,0.45,472000000,472000000
2014-09-30_Q3,20579000000,14627000000,5952000000,0.289227,2423000000,4042000000,32000000,31000000,6496000000,21123000000,49000000,1247000000,654000000,0.03178,-544000000,-0.026435,-50000000,-634000000,-0.030808,-205000000,-437000000,-0.021235,-0.94,-0.94,463000000,463000000
