date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2019-12-31_FY,1.13589E+11,22345000000,91244000000,0.803282,,0,58490000000,0,0,80835000000,36623000000,22345000000,,1729000000,56828000000,0.663046368,,32754000000,0.669939253,0,32754000000,0.669939253,5324000000,27430000000,0.561043955,,3.00194,3.00194,9442900000,9442900000
2018-12-31_FY,1.09627E+11,18607000000,91020000000,0.83027,,0,56436000000,0,0,75043000000,31880000000,18607000000,,2063000000,55254000000,0.401624163,,34584000000,0.379015201,0,34584000000,0.379015201,6437000000,28147000000,0.308470415,,2.64773,2.64773,10236900000,10236900000
2017-12-31_FY,99466000000,12340000000,87126000000,0.875938,,0,57913000000,0,0,70253000000,31642000000,12340000000,,2103000000,43656000000,0.332734225,,29213000000,0.334428519,0,29213000000,0.334428519,10981000000,18232000000,0.208718747,,1.74287,1.74287,10778400000,10778400000
2016-12-31_FY,93662000000,9961000000,83701000000,0.89365,,0,58680000000,0,0,68641000000,31616000000,9961000000,,2241000000,37271000000,0.289841221,,25021000000,0.300510149,0,25021000000,0.300510149,7247000000,17822000000,0.213928149,,1.56681,1.56681,11046806000,11046806000
2015-12-31_FY,93514000000,10549000000,82965000000,0.887193,,0,60778000000,0,57192000000,71327000000,32868000000,10549000000,,2389000000,35114000000,0.267504575,,22187000000,0.268510551,0,22187000000,0.268510551,6266000000,15910000000,0.192565479,,1.31584,1.31584,11236230000,11236230000
2014-12-31_FY,95181000000,10934000000,84247000000,0.885124,,0,77392000000,0,0,88326000000,33787000000,10934000000,,2522000000,20311000000,0.079397486,,6855000000,0.081367883,0,6855000000,0.081367883,2022000000,4833000000,0.057367028,,1.45,1.45,10585000000,10585000000
2013-12-31_FY,1.01697E+11,12755000000,88942000000,0.874578,,0,72770000000,0,0,85525000000,35805000000,12755000000,,2683000000,31610000000,0.211992085,,16172000000,0.181826359,0,16172000000,0.181826359,4741000000,11431000000,0.128521958,,1.28,1.28,11491000000,11491000000
2012-12-31_FY,1.00078E+11,16744000000,83334000000,0.832691,,0,80262000000,0,0,97006000000,36912000000,16744000000,,3038000000,22854000000,0.073319413,,3072000000,0.036863705,0,3072000000,0.036863705,-1116000000,4188000000,0.050255598,,0.51,0.51,10841000000,10841000000
2011-12-31_FY,1.15074E+11,21620000000,93454000000,0.812121,,0,93684000000,0,0,1.15304E+11,38474000000,21620000000,,3485000000,24875000000,0.03482997,,-230000000,-0.002461104,0,-230000000,-0.002461104,-1676000000,1446000000,0.015472853,,0.27,0.27,10255000000,10255000000
2010-12-31_FY,1.34194E+11,23974000000,1.1022E+11,0.821348,,0,1.11543E+11,0,0,1.35517E+11,1963000000,23974000000,,3912000000,26563000000,0.007784431,,-1323000000,-0.012003266,0,-1323000000,-0.012003266,915000000,-2238000000,-0.020304845,,0.64,0.64,9790000000,9790000000
2009-12-31_FY,1.5045E+11,30807000000,1.19643E+11,0.795234,,0,1.15283E+11,0,0,1.4609E+11,1933000000,30807000000,,4314000000,39481000000,0.036441748,,4360000000,0.036441748,0,4360000000,0.036441748,-1916000000,6276000000,0.052456057,,0.18,0.18,7729000000,7729000000
2008-12-31_FY,1.13106E+11,40324000000,72782000000,0.643485,,0,68354000000,0,0,1.08678E+11,2368000000,40324000000,,3319000000,48071000000,0.081242615,,4428000000,0.060839218,0,4428000000,0.060839218,420000000,4008000000,0.055068561,,1.84,1.84,4612000000,4612000000
2007-12-31_FY,1.1919E+11,52871000000,66319000000,0.556414,,0,45395000000,0,0,98266000000,2356000000,52871000000,,2844000000,76639000000,0.333117206,,20924000000,0.31550536,0,20924000000,0.31550536,5942000000,14982000000,0.225908111,,3.37,3.37,4480000000,4480000000
2006-12-31_FY,1.16574E+11,43994000000,72580000000,0.622609,,0,40607000000,0,0,84601000000,2336000000,43994000000,,2869000000,78836000000,0.453103817,,31973000000,0.437848349,0,31973000000,0.437848349,10840000000,21133000000,0.289401969,,4.71,4.71,4596000000,4596000000
2005-12-31_FY,85064000000,27889000000,57175000000,0.672141,,0,32695000000,0,0,60584000000,1255000000,27889000000,,1768000000,54137000000,0.453530869,,24480000000,0.436433652,0,24480000000,0.436433652,8015000000,16465000000,0.293540853,,4.11,4.11,4068000000,4068000000
2004-12-31_FY,65447000000,14430000000,51017000000,0.779516,,0,29796000000,0,0,44226000000,1349000000,14430000000,,1636000000,37287000000,0.453900274,,21221000000,0.434020534,0,21221000000,0.434020534,7078000000,14143000000,0.289258396,,3.8,3.8,3824000000,3824000000
2003-12-31_FY,49006000000,10179000000,38827000000,0.792291,,0,22966000000,0,0,33145000000,985000000,10179000000,,1107000000,27147000000,0.442142216,,15861000000,0.418650689,0,15861000000,0.418650689,5051000000,10810000000,0.285329673,,3.57,3.57,3030000000,3030000000
2002-12-31_FY,46362000000,11238000000,35124000000,0.757603,,0,22133000000,0,0,33371000000,753000000,11238000000,,1104000000,25333000000,0.40230185,,12991000000,0.376616223,0,12991000000,0.376616223,3742000000,9249000000,0.268133588,,2.95,2.95,3131000000,3131000000
