date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,35239000000,2259000000,32980000000,0.935895,0,27415000000,0,0,29674000000,0,2259000000,2149000000,9973000000,0,5565000000,0,0,5565000000,0,878000000,4687000000,0,2.67401,2.67401,3081000000,3081000000
2020-03-31_Q1,32973000000,4722000000,28251000000,0.856792,0,25135000000,0,1424000000,29857000000,11473000000,4722000000,2197000000,10035000000,0.188064139,3116000000,0.110296981,0,3116000000,0.110296981,251000000,2865000000,0.101412339,2.14716,2.14716,3100700000,3100700000
2019-12-31_Q4,34092000000,5761000000,28331000000,0.831016,0,17766000000,0,1463000000,23527000000,10673000000,5761000000,2139000000,18465000000,0.448413399,10565000000,0.372913063,0,10565000000,0.372913063,2045000000,8520000000,0.300730648,2.63228,2.63228,3147600000,3147600000
2019-09-30_Q3,36234000000,6893000000,29341000000,0.809764,0,17936000000,0,1234000000,24829000000,11077000000,6893000000,2145000000,20443000000,0.461811118,11405000000,0.388705225,0,11405000000,0.388705225,2325000000,9080000000,0.309464572,2.68582,2.68582,3207200000,3207200000
2019-06-30_Q2,35952000000,7205000000,28747000000,0.799594,0,17405000000,0,1282000000,24610000000,10925000000,7205000000,2046000000,20593000000,0.464345172,11342000000,0.393382353,0,11342000000,0.393382353,1690000000,9652000000,0.334766926,2.8379,2.8379,3259700000,3259700000
2019-03-31_Q1,36059000000,6936000000,29123000000,0.807649,0,17890000000,0,1108000000,24826000000,11301000000,6936000000,2038000000,20207000000,0.455687944,11233000000,0.38570889,0,11233000000,0.38570889,2054000000,9179000000,0.315180442,2.62584,2.62584,3308200000,3308200000
2018-12-31_Q4,31451000000,5342000000,26109000000,0.830148,0,17268000000,0,1418000000,22610000000,10170000000,5342000000,2075000000,16560000000,0.418093378,8841000000,0.338618867,0,8841000000,0.338618867,2077000000,7066000000,0.270634647,1.88966,1.88966,3347400000,3347400000
2018-09-30_Q3,33192000000,5932000000,27260000000,0.821282,0,16571000000,0,1398000000,22503000000,10327000000,5932000000,1992000000,18613000000,0.465187087,10689000000,0.392112986,0,10689000000,0.392112986,2309000000,8380000000,0.307410125,2.35,2.35,3394000000,3394000000
2018-06-30_Q2,33137000000,5384000000,27753000000,0.837523,0,17181000000,0,1560000000,22565000000,10506000000,5384000000,1927000000,17883000000,0.450365726,10572000000,0.380931791,0,10572000000,0.380931791,2256000000,8316000000,0.299643282,2.29,2.29,3435000000,3435000000
2018-03-31_Q1,32290000000,4383000000,27907000000,0.864261,0,17245000000,0,1355000000,21628000000,10916000000,4383000000,1797000000,16842000000,0.446447128,10662000000,0.382054682,0,10662000000,0.382054682,1950000000,8712000000,0.31217974,2.39,2.39,3480000000,3480000000
2017-12-31_Q4,28423000000,3966000000,24457000000,0.860465,0,16203000000,0,1510000000,20169000000,9492000000,3966000000,1632000000,11952000000,0.409307332,8254000000,0.341738086,0,8254000000,0.341738086,2122000000,4232000000,0.175216329,1.57,1.57,3516000000,3516000000
2017-09-30_Q3,29467000000,3889000000,25578000000,0.868022,0,16022000000,0,1355000000,19911000000,9618000000,3889000000,1579000000,15024000000,0.439666746,9556000000,0.37731975,0,9556000000,0.37731975,2824000000,6732000000,0.265813788,1.74,1.74,3560000000,3560000000
2017-06-30_Q2,29173000000,3442000000,25731000000,0.882014,0,15982000000,0,1618000000,19424000000,9576000000,3442000000,1504000000,14695000000,0.441813899,9749000000,0.382764036,0,9749000000,0.382764036,2720000000,7029000000,0.275971731,1.86,1.86,3566000000,3566000000
2017-03-31_Q1,27917000000,2978000000,24939000000,0.893327,0,16598000000,0,1773000000,19576000000,10029000000,2978000000,1464000000,12783000000,0.397365755,8341000000,0.338034448,0,8341000000,0.338034448,1893000000,6448000000,0.261317123,1.69,1.69,3630000000,3630000000
2016-12-31_Q4,26990000000,2713000000,24277000000,0.899481,0,15598000000,0,1743000000,18311000000,8694000000,2713000000,1446000000,12838000000,0.43313655,8679000000,0.371278234,0,8679000000,0.371278234,1952000000,6727000000,0.287773785,1.76,1.76,3647000000,3647000000
2016-09-30_Q3,27140000000,2467000000,24673000000,0.909101,0,15734000000,0,1664000000,18201000000,9410000000,2467000000,1407000000,12813000000,0.419324768,8939000000,0.362298869,0,8939000000,0.362298869,2653000000,6286000000,0.254772423,1.57,1.57,3670000000,3670000000
2016-06-30_Q2,26846000000,2466000000,24380000000,0.908143,0,15040000000,0,924000000,17506000000,9443000000,2466000000,1336000000,13142000000,0.437899918,9340000000,0.383100902,0,9340000000,0.383100902,3140000000,6200000000,0.254306809,1.47,1.47,3706000000,3706000000
2016-03-31_Q1,25411000000,2172000000,23239000000,0.914525,0,15661000000,0,1425000000,17833000000,9278000000,2172000000,1289000000,11039000000,0.381556866,7578000000,0.326089763,0,7578000000,0.326089763,2058000000,5520000000,0.237531735,1.34,1.34,3738000000,3738000000
