date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-26_Q2,7150000000,3013000000,4137000000,0.578601,,0,2007000000,0,23000000,2213000000,5226000000,274000000,,381000000,2872000000,0.401678,,1924000000,0.269091,31000000,2197000000,0.307273,438000000,1779000000,0.248811,,0.45059,0.45059,4316000000,4316000000
2020-03-27_Q1,8601000000,3371000000,5230000000,0.608069,,0,2592000000,0,0,1930000000,5301000000,193000000,,367000000,3550000000,0.412743,,3300000000,0.383676,141000000,3010000000,0.349959,215000000,2775000000,0.322637,,0.48746,0.48746,4325000000,4325000000
2019-12-31_Q4,9068000000,3566000000,5502000000,0.606749,,0,3239000000,0,0,3260000000,6826000000,235000000,,400000000,3032000000,0.334363,,2242000000,0.247243,28000000,2420000000,0.266873,355000000,2042000000,0.225187,,0.47946,0.47946,4323000000,4323000000
2019-09-27_Q3,9507000000,3767000000,5740000000,0.603766,,0,3120000000,0,1000000,3719000000,7486000000,230000000,,363000000,3689000000,0.38803,,2021000000,0.21258,45000000,3092000000,0.325234,503000000,2593000000,0.272746,,0.57354,0.57354,4321000000,4321000000
2019-06-28_Q2,9997000000,3921000000,6076000000,0.607782,,0,3007000000,0,8000000,3137000000,7058000000,249000000,,327000000,3604000000,0.360508,,2939000000,0.293988,-79000000,3049000000,0.304991,421000000,2607000000,0.260778,,0.6322,0.6322,4305000000,4305000000
2019-03-29_Q1,8694000000,3365000000,5329000000,0.612951,,0,2784000000,0,0,3319000000,6684000000,232000000,,275000000,2707000000,0.311364,,2010000000,0.231194,0,2225000000,0.255924,522000000,1678000000,0.193007,,0.48781,0.48781,4306000000,4306000000
2018-12-31_Q4,7806000000,3102000000,4704000000,0.602613,,0,2687000000,0,0,3582000000,6684000000,242000000,,279000000,1430000000,0.183192,,1122000000,0.143736,411000000,965000000,0.123623,39000000,870000000,0.111453,,0.39645,0.39645,4305000000,4305000000
2018-09-28_Q3,8775000000,3346000000,5429000000,0.618689,,0,2678000000,0,6000000,3844000000,7190000000,206000000,,254000000,3020000000,0.34416,,1585000000,0.180627,0,2373000000,0.270427,680000000,1880000000,0.214245,,0.6,0.6,4295000000,4295000000
2018-06-29_Q2,9421000000,3543000000,5878000000,0.623925,,0,2886000000,0,-2000000,3318000000,6861000000,241000000,,283000000,3493000000,0.370767,,2560000000,0.271733,177000000,2942000000,0.312281,653000000,2316000000,0.245834,,0.61,0.61,4290000000,4290000000
2018-03-30_Q1,8298000000,3076000000,5222000000,0.629308,,0,2733000000,0,1000000,3329000000,6405000000,230000000,,270000000,2237000000,0.269583,,1893000000,0.228127,139000000,1945000000,0.234394,369000000,1368000000,0.164859,,0.47,0.47,4294000000,4294000000
2017-12-31_Q4,7512000000,2689000000,4823000000,0.642039,,0,2891000000,0,208000000,4286000000,6975000000,210000000,,334000000,-2063000000,-0.274627,,537000000,0.071486,18000000,937000000,0.124734,145000000,-2752000000,-0.366347,,0.42,0.42,4263000000,4263000000
2017-09-29_Q3,9078000000,3394000000,5684000000,0.626129,,0,3256000000,0,-408000000,4360000000,7754000000,208000000,,297000000,2182000000,0.240361,,1324000000,0.145847,17000000,1674000000,0.184402,230000000,1447000000,0.159396,,0.64,0.64,4320000000,4320000000
2017-06-30_Q2,9702000000,3659000000,6043000000,0.622861,,0,3191000000,0,76000000,3873000000,7532000000,231000000,,301000000,3155000000,0.325191,,2170000000,0.223665,60000000,2624000000,0.27046,1252000000,1371000000,0.141311,,0.39,0.39,4327000000,4327000000
2017-03-31_Q1,9118000000,3513000000,5605000000,0.614718,,0,3363000000,0,-102000000,4263000000,7776000000,192000000,,328000000,2025000000,0.222088,,1342000000,0.147181,18000000,1507000000,0.165277,323000000,1182000000,0.129634,,0.46,0.46,4334000000,4334000000
2016-12-31_Q4,9409000000,3794000000,5615000000,0.596769,,0,3588000000,0,388000000,5124000000,8918000000,248000000,,464000000,1230000000,0.130726,,491000000,0.052184,7000000,515000000,0.054735,-32000000,550000000,0.058455,,0.3,0.3,4346000000,4346000000
2016-09-30_Q3,10633000000,4131000000,6502000000,0.611493,,0,4011000000,0,90000000,5358000000,9489000000,182000000,,420000000,2026000000,0.190539,,1144000000,0.10759,44000000,1428000000,0.134299,378000000,1046000000,0.098373,,0.45,0.45,4364000000,4364000000
2016-07-01_Q2,11539000000,4471000000,7068000000,0.612531,,0,3918000000,0,139000000,3103000000,7574000000,162000000,,445000000,4894000000,0.424127,,3965000000,0.343617,74000000,4299000000,0.372563,839000000,3448000000,0.298813,,0.62,0.62,4404000000,4404000000
2016-04-01_Q1,10282000000,4069000000,6213000000,0.60426,,0,3767000000,0,4000000,4423000000,8492000000,141000000,,458000000,2483000000,0.24149,,1790000000,0.174091,84000000,1894000000,0.184205,401000000,1483000000,0.144233,,0.46,0.46,4382000000,4382000000
2015-12-31_Q4,10000000000,4054000000,5946000000,0.5946,,0,3937000000,0,-65000000,4428000000,8482000000,143000000,,527000000,2209000000,0.2209,,1518000000,0.1518,-403000000,1538000000,0.1538,302000000,1237000000,0.1237,,0.38,0.38,4390000000,4390000000
2015-10-02_Q3,11427000000,4577000000,6850000000,0.599457,,0,4233000000,0,48000000,4471000000,9048000000,138000000,,482000000,2341000000,0.204866,,2379000000,0.208191,-816000000,1725000000,0.150958,272000000,1449000000,0.126805,,0.37,0.37,4399000000,4399000000
2015-07-03_Q2,12156000000,4748000000,7408000000,0.609411,,0,4197000000,0,483000000,4873000000,9621000000,128000000,,488000000,4974000000,0.409181,,2535000000,0.208539,1646000000,4361000000,0.358753,1250000000,3108000000,0.255676,,0.74,0.74,4408000000,4408000000
2015-04-03_Q1,10711000000,4103000000,6608000000,0.616936,,0,4074000000,0,108000000,4312000000,8415000000,447000000,,473000000,2892000000,0.270003,,2296000000,0.214359,66000000,1981000000,0.18495,415000000,1557000000,0.145365,,0.37,0.37,4422000000,4422000000
2014-12-31_Q4,10872000000,4357000000,6515000000,0.599246,,0,4390000000,0,309000000,5096000000,9453000000,139000000,,499000000,1713000000,0.157561,,1419000000,0.130519,-167000000,1076000000,0.09897,305000000,770000000,0.070824,,0.31,0.31,4438000000,4438000000
2014-09-26_Q3,11976000000,4630000000,7346000000,0.613393,,0,4495000000,0,8000000,4635000000,9265000000,113000000,,510000000,3275000000,0.273464,,2711000000,0.226369,16000000,2660000000,0.222111,538000000,2114000000,0.17652,,0.53,0.53,4445000000,4445000000
2014-06-27_Q2,12574000000,4819000000,7755000000,0.616749,,0,4405000000,0,21000000,4585000000,9404000000,107000000,,494000000,3975000000,0.316129,,3170000000,0.252108,79000000,3384000000,0.269127,779000000,2595000000,0.206378,,0.64,0.64,4454000000,4454000000
2014-03-28_Q1,10576000000,4083000000,6493000000,0.613937,,0,3983000000,0,0,4117000000,8200000000,124000000,,473000000,2795000000,0.264278,,2376000000,0.22466,-261000000,2205000000,0.208491,579000000,1619000000,0.153082,,0.38,0.38,4464000000,4464000000
2013-12-31_Q4,11040000000,4315000000,6725000000,0.609149,,0,4347000000,0,114000000,4620000000,8935000000,149000000,,533000000,2912000000,0.263768,,2105000000,0.19067,20000000,2228000000,0.201812,520000000,1710000000,0.154891,,0.41,0.41,4482000000,4482000000
2013-09-27_Q3,12030000000,4793000000,7237000000,0.601579,,0,4436000000,0,9000000,4120000000,8913000000,90000000,,497000000,3959000000,0.329094,,3117000000,0.259102,-73000000,3380000000,0.280964,925000000,2447000000,0.203408,,0.52,0.52,4498000000,4498000000
2013-06-28_Q2,12749000000,4989000000,7760000000,0.608675,,0,4387000000,0,-1000000,4662000000,9651000000,122000000,,474000000,4103000000,0.321829,,3098000000,0.242999,185000000,3525000000,0.276492,831000000,2676000000,0.209899,,0.65,0.65,4527000000,4527000000
2013-03-29_Q1,11035000000,4324000000,6711000000,0.608156,,0,4202000000,0,-1000000,4303000000,8627000000,102000000,,473000000,2901000000,0.262891,,2408000000,0.218215,-242000000,2344000000,0.212415,575000000,1751000000,0.158677,,0.41,0.41,4530000000,4530000000
2012-12-31_Q4,11455000000,4628000000,6827000000,0.595984,,0,7267000000,0,-2623000000,4644000000,9272000000,95000000,,513000000,2961000000,0.25849,,2183000000,0.190572,-19000000,2377000000,0.207508,487000000,1866000000,0.162898,,0.41,0.41,4555000000,4555000000
2012-09-28_Q3,12340000000,4853000000,7487000000,0.606726,,0,4630000000,0,55000000,4694000000,9547000000,102000000,,514000000,3682000000,0.298379,,2793000000,0.226337,23000000,3084000000,0.249919,755000000,2311000000,0.187277,,0.51,0.51,4587000000,4587000000
2012-06-29_Q2,13085000000,5224000000,7861000000,0.600764,,0,4497000000,0,55000000,4567000000,9791000000,112000000,,508000000,4231000000,0.323347,,3294000000,0.251739,84000000,3623000000,0.276882,823000000,2788000000,0.213068,,0.76,0.76,4592000000,4592000000
2012-03-30_Q1,11137000000,4348000000,6789000000,0.60959,,0,4181000000,0,84000000,4280000000,8628000000,88000000,,447000000,3247000000,0.291551,,2509000000,0.225285,49000000,2725000000,0.24468,658000000,2054000000,0.18443,,0.46,0.46,4602000000,4602000000
2011-12-31_Q4,11040000000,4422000000,6618000000,0.599457,,0,5159000000,0,275000000,5415000000,9837000000,104000000,,531000000,2078000000,0.188225,,1203000000,0.108967,82000000,1463000000,0.132518,539000000,904000000,0.081884,,0.19,0.19,4609000000,4609000000
2011-09-30_Q3,12248000000,4875000000,7373000000,0.601976,,0,4523000000,0,20000000,4619000000,9494000000,116000000,,466000000,3487000000,0.2847,,2754000000,0.224853,-32000000,2927000000,0.238978,681000000,2224000000,0.181581,,0.49,0.49,4653000000,4653000000
2011-07-01_Q2,12737000000,4989000000,7748000000,0.608307,,0,4417000000,0,31000000,4569000000,9558000000,84000000,,471000000,4347000000,0.341289,,3179000000,0.249588,362000000,3799000000,0.298265,992000000,2800000000,0.219832,,0.62,0.62,4660000000,4660000000
2011-04-01_Q1,10517000000,3929000000,6588000000,0.626414,,0,4076000000,0,75000000,4304000000,8233000000,113000000,,486000000,3102000000,0.294951,,2284000000,0.217172,117000000,2516000000,0.239232,600000000,1903000000,0.180945,,0.51,0.51,4662000000,4662000000
2010-12-31_Q4,10494000000,4279000000,6215000000,0.592243,,0,4547000000,0,545000000,5066000000,9345000000,487000000,,509000000,7188000000,0.684963,,1149000000,0.109491,5268000000,6205000000,0.59129,443000000,5749000000,0.547837,,1.19,1.19,4692000000,4692000000
2010-10-01_Q3,8426000000,2918000000,5508000000,0.653691,,0,3064000000,0,-2818000000,246000000,3164000000,80000000,,323000000,6009000000,0.71315,,5262000000,0.624496,-12000000,5618000000,0.666746,633000000,4973000000,0.590197,,1.07,1.07,4672000000,4672000000
2010-07-02_Q2,8674000000,2955000000,5719000000,0.659327,,0,2878000000,0,-2877000000,1000000,2956000000,81000000,,316000000,6462000000,0.744985,,5718000000,0.659211,18000000,6078000000,0.700715,741000000,5324000000,0.613788,,1.15,1.15,4650000000,4650000000
2010-04-02_Q1,7525000000,2541000000,4984000000,0.662326,,0,2705000000,0,96000000,2827000000,5368000000,85000000,,295000000,2547000000,0.338472,,2157000000,0.286645,-89000000,2179000000,0.289568,553000000,1614000000,0.214485,,0.36,0.36,4654000000,4654000000
2009-12-31_Q4,7510000000,2651000000,4859000000,0.647004,,0,2978000000,0,101000000,3079000000,5730000000,-84000000,,331000000,2172000000,0.289214,,1780000000,0.237017,27000000,1960000000,0.260985,382000000,1543000000,0.205459,,0.33,0.33,4684000000,4684000000
2009-10-02_Q3,8044000000,2934000000,5110000000,0.635256,,0,2912000000,0,48000000,2960000000,5894000000,-89000000,,320000000,2650000000,0.329438,,2150000000,0.26728,33000000,2443000000,0.303705,523000000,1896000000,0.235704,,0.41,0.41,4664000000,4664000000
2009-07-03_Q2,8267000000,2913000000,5354000000,0.647635,,0,2844000000,0,72000000,2916000000,5829000000,-97000000,,302000000,2921000000,0.353333,,2438000000,0.294907,20000000,2728000000,0.329987,679000000,2037000000,0.246401,,0.44,0.44,4646000000,4646000000
2009-04-03_Q1,7169000000,2590000000,4579000000,0.638722,,0,2624000000,0,92000000,2716000000,5306000000,-8000000,,283000000,2079000000,0.289999,,1863000000,0.259869,-40000000,1815000000,0.253173,456000000,1348000000,0.188032,,0.29,0.29,4638000000,4638000000
