date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,896210000,75412000,820798000,0.915855,0,504959000,0,50938000,621632000,697044000,765000,65735000,265505000,0.296253,199166000,0.222231,373000,199005000,0.222052,51200000,147805000,0.164922,1.24878,1.24878,118359880,118359880
2020-03-31_Q1,987364000,107693000,879671000,0.890929,0,576132000,0,54934000,696501000,804194000,100000,65435000,246236000,0.249387,183170000,0.185514,-3617000,180701000,0.183014,47524000,133177000,0.134881,1.17374,1.17374,119805570,119805570
2019-12-31_Q4,1009206000,112004000,897202000,0.889018,0,586517000,0,57877000,708938000,820942000,92000,64544000,254230000,0.251911,188264000,0.186547,-375000,189594000,0.187865,45570000,144024000,0.14271,1.20231,1.20231,119789290,119789290
2019-09-30_Q3,1048457000,117343000,931114000,0.88808,0,586462000,0,63632000,713587000,830930000,3000,63493000,281890000,0.268862,217527000,0.207473,-844000,218394000,0.2083,54295000,164099000,0.156515,1.36768,1.36768,119983550,119983550
2019-06-30_Q2,1060666000,122410000,938256000,0.884591,0,582695000,0,58501000,703767000,826177000,160000,62571000,298305000,0.281243,234489000,0.221077,-524000,235574000,0.2221,61502000,174072000,0.164116,1.439,1.439,120967440,120967440
2019-03-31_Q1,990782000,121357000,869425000,0.877514,0,572915000,0,55011000,690999000,812356000,122000,63073000,243582000,0.245848,178426000,0.180086,600000,180387000,0.182065,47064000,133323000,0.134563,1.09537,1.09537,121714720,121714720
2018-12-31_Q4,1026944000,126026000,900918000,0.877281,0,563002000,0,56516000,682073000,808099000,138000,62557000,280046000,0.272698,218845000,0.213103,-2567000,217351000,0.211648,57892000,159459000,0.155275,1.30306,1.30306,122372280,122372280
2018-09-30_Q3,1058200000,126000000,932200000,0.88093,0,589500000,0,56200000,703800000,829800000,29000,58100000,287329000,0.271526,228400000,0.215838,100000,229200000,0.216594,55800000,173400000,0.163863,2.12,2.12,82000000,82000000
2018-06-30_Q2,1033500000,124900000,908600000,0.879149,0,572600000,0,59300000,688100000,813000000,11000,56200000,277611000,0.268612,220500000,0.213353,300000,221500000,0.21432,58000000,163400000,0.158104,1.99,1.99,82200000,82200000
2018-03-31_Q1,925000000,114100000,811000000,0.876757,0,551300000,0,56800000,661600000,775700000,11000,53500000,201011000,0.217309,149300000,0.161405,-2300000,147500000,0.159459,38200000,109300000,0.118162,1.33,1.33,82400000,82400000
2017-12-31_Q4,891100000,106700000,784400000,0.88026,0,531600000,0,56300000,641000000,747700000,362000,53100000,302262000,0.339201,143500000,0.161037,400000,143900000,0.161486,51500000,197300000,0.221412,1.12,1.12,82400000,82400000
2017-09-30_Q3,873000000,95500000,777400000,0.890493,0,509800000,0,51800000,613600000,709100000,555000,52000000,217055000,0.248631,163900000,0.187743,1000000,164500000,0.188431,62200000,102300000,0.117182,1.24,1.24,82400000,82400000
