date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q4,17698000000,8659000000,9039000000,0.510736,,0,5314000000,0,0,5562000000,14221000000,157000000,,814000000,4446000000,0.251215,,3477000000,0.196463,119000000,3461000000,0.195559,675000000,2800000000,0.15821,,1.1834,1.1834,2612300000,2612300000
2020-03-31_Q3,17214000000,8518000000,8696000000,0.50517,,0,4985000000,0,0,5246000000,13764000000,100000000,,799000000,4357000000,0.253108,,3450000000,0.200418,109000000,3498000000,0.203207,541000000,2917000000,0.169455,,1.2069,1.2069,2613300000,2613300000
2019-12-31_Q2,18240000000,8806000000,9434000000,0.517215,,0,4794000000,0,0,4957000000,13763000000,100000000,,677000000,5283000000,0.289638,,4477000000,0.24545,119000000,4532000000,0.248465,789000000,3717000000,0.203783,,1.45508,1.45508,2630100000,2630100000
2019-09-30_Q1,17798000000,8653000000,9145000000,0.513822,,0,4756000000,0,0,4856000000,13509000000,108000000,,723000000,5150000000,0.289358,,4289000000,0.240982,104000000,4343000000,0.244016,726000000,3593000000,0.201877,,1.39263,1.39263,2647500000,2647500000
2019-06-30_Q4,17094000000,8410000000,8684000000,0.508015,,0,4943000000,0,871000000,13877000000,22287000000,111000000,,820000000,-4138000000,-0.242073,,-5193000000,-0.303791,187000000,-5065000000,-0.296303,172000000,-5241000000,-0.306599,,1.40079,1.40079,2653500000,2653500000
2019-03-31_Q3,16462000000,8342000000,8120000000,0.493257,,0,4873000000,0,0,4893000000,13235000000,131000000,,711000000,4089000000,0.24839,,3227000000,0.196027,130000000,3278000000,0.199125,502000000,2745000000,0.166748,,1.08731,1.08731,2637700000,2637700000
2018-12-31_Q2,17438000000,8776000000,8662000000,0.496731,,0,4635000000,0,0,4775000000,13551000000,138000000,,650000000,4682000000,0.268494,,3887000000,0.222904,104000000,3916000000,0.224567,700000000,3194000000,0.183163,,1.29089,1.29089,2623000000,2623000000
2018-09-30_Q1,16690000000,8420000000,8270000000,0.495506,,0,4554000000,0,0,4362000000,12782000000,129000000,,643000000,4700000000,0.281606,,3908000000,0.234152,108000000,3940000000,0.23607,729000000,3199000000,0.191672,,1.14,1.14,2612000000,2612000000
2018-06-30_Q4,16503000000,9070000000,7433000000,0.450403,,0,4705000000,0,16000000,4846000000,13916000000,136000000,,750000000,3276000000,0.198509,,2587000000,0.156759,-225000000,2289000000,0.138702,499000000,1891000000,0.114585,,0.75,0.75,2621000000,2621000000
2018-03-31_Q3,16281000000,8384000000,7897000000,0.485044,,0,4765000000,0,21000000,4688000000,13072000000,133000000,,716000000,3973000000,0.244027,,3209000000,0.197101,108000000,3253000000,0.199803,613000000,2511000000,0.154229,,1,1,2646000000,2646000000
2017-12-31_Q2,17395000000,8709000000,8686000000,0.499339,,0,4728000000,0,168000000,4767000000,13476000000,122000000,,676000000,4165000000,0.239437,,3919000000,0.225295,170000000,4033000000,0.231848,872000000,2495000000,0.143432,,1.17,1.17,2670000000,2670000000
2017-09-30_Q1,16653000000,8269000000,8384000000,0.503453,,0,4732000000,0,0,4736000000,13005000000,115000000,,692000000,4541000000,0.272684,,3648000000,0.21906,169000000,3751000000,0.225245,881000000,2853000000,0.17132,,1.07,1.07,2691000000,2691000000
2017-06-30_Q4,16079000000,8115000000,7964000000,0.495304,,0,4766000000,0,-404000000,5015000000,13130000000,116000000,,720000000,3776000000,0.23484,,2949000000,0.183407,46000000,2927000000,0.182039,725000000,2215000000,0.137757,,0.94,0.94,2695000000,2695000000
2017-03-31_Q3,15605000000,7704000000,7901000000,0.506312,,0,4539000000,0,0,4541000000,12245000000,96000000,,665000000,4063000000,0.260365,,3360000000,0.215316,26000000,3336000000,0.213778,780000000,2522000000,0.161615,,1,1,2706000000,2706000000
2016-12-31_Q2,16856000000,8150000000,8706000000,0.516493,,0,4480000000,0,0,4831000000,12981000000,122000000,,707000000,9399000000,0.557606,,3875000000,0.229888,-539000000,3256000000,0.193166,695000000,7875000000,0.467193,,1.27,1.27,2738000000,2738000000
2016-09-30_Q1,16518000000,7973000000,8545000000,0.517314,,0,4624000000,0,0,4774000000,12747000000,131000000,,728000000,4436000000,0.268556,,3771000000,0.228296,63000000,3738000000,0.226299,863000000,2714000000,0.164306,,1.04,1.04,2823000000,2823000000
2016-06-30_Q4,16102000000,8109000000,7993000000,0.496398,,0,5137000000,0,0,5491000000,13600000000,150000000,,839000000,3618000000,0.224693,,2502000000,0.155384,287000000,2686000000,0.166812,678000000,1951000000,0.121165,,0.81,0.81,2811000000,2811000000
2016-03-31_Q3,15755000000,7723000000,8032000000,0.509806,,0,4681000000,0,0,4714000000,12437000000,146000000,,785000000,4570000000,0.290067,,3318000000,0.2106,21000000,3226000000,0.20476,889000000,2750000000,0.174548,,0.87,0.87,2835000000,2835000000
2015-12-31_Q2,16915000000,8297000000,8618000000,0.509489,,0,4398000000,0,0,4765000000,13062000000,143000000,,723000000,4970000000,0.293822,,3853000000,0.227786,35000000,3803000000,0.22483,898000000,3206000000,0.189536,,1.06,1.06,2865000000,2865000000
2015-09-30_Q1,16527000000,8062000000,8465000000,0.512192,,0,4502000000,0,0,4697000000,12759000000,140000000,,731000000,4349000000,0.263145,,3768000000,0.227991,-18000000,3654000000,0.221093,877000000,2601000000,0.157379,,0.99,0.99,2868000000,2868000000
2015-06-30_Q4,16553000000,8223000000,8330000000,0.503232,,0,4538000000,0,0,7518000000,15741000000,147000000,,808000000,2045000000,0.123543,,812000000,0.049055,355000000,1065000000,0.064339,569000000,521000000,0.031475,,0.65,0.65,2879000000,2879000000
2015-03-31_Q3,16930000000,8927000000,8003000000,0.472711,,0,5321000000,0,0,4978000000,13905000000,149000000,,786000000,3655000000,0.215889,,3025000000,0.178677,53000000,2968000000,0.17531,567000000,2153000000,0.127171,,0.82,0.82,2883000000,2883000000
2014-12-31_Q2,18495000000,9558000000,8937000000,0.483212,,0,5042000000,0,0,5358000000,14916000000,161000000,,746000000,4077000000,0.220438,,3579000000,0.193512,19000000,3472000000,0.187726,798000000,2372000000,0.128251,,0.92,0.92,2885000000,2885000000
2014-09-30_Q1,18771000000,9734000000,9037000000,0.481434,,0,5404000000,0,0,5404000000,15138000000,169000000,,794000000,3744000000,0.199457,,3633000000,0.193543,13000000,3507000000,0.186831,791000000,1990000000,0.106015,,0.93,0.93,2888000000,2888000000
2014-06-30_Q4,13487000000,8308000000,5179000000,0.383999,,0,2847000000,0,0,2847000000,11155000000,178000000,,824000000,4006000000,0.297027,,2332000000,0.172907,141000000,2321000000,0.172092,425000000,2579000000,0.191221,,0.64,0.64,2892000000,2892000000
2014-03-31_Q3,19641000000,10040000000,9601000000,0.488824,,0,6295000000,0,0,6295000000,16335000000,179000000,,791000000,4223000000,0.215009,,3306000000,0.168321,20000000,3175000000,0.161652,644000000,2609000000,0.132834,,0.87,0.87,2894000000,2894000000
2013-12-31_Q2,21099000000,10474000000,10625000000,0.503578,,0,6323000000,0,0,6323000000,16797000000,187000000,,755000000,5255000000,0.249064,,4302000000,0.203896,43000000,4182000000,0.198208,885000000,3428000000,0.162472,,1.12,1.12,2909000000,2909000000
2013-09-30_Q1,20174000000,10208000000,9966000000,0.494002,,0,5996000000,0,0,5996000000,16204000000,165000000,,771000000,4860000000,0.240904,,3970000000,0.196788,5000000,3831000000,0.189898,897000000,3027000000,0.150045,,1,1,2912000000,2912000000
2013-06-30_Q4,19069000000,9725000000,9344000000,0.49001,,0,6381000000,0,0,6862000000,16587000000,163000000,,794000000,3411000000,0.178877,,2482000000,0.130159,-46000000,2360000000,0.123761,579000000,1875000000,0.098327,,0.7,0.7,2940000000,2940000000
2013-03-31_Q3,20598000000,10274000000,10324000000,0.501214,,0,6948000000,0,-942000000,6919000000,17193000000,163000000,,740000000,4166000000,0.202253,,3405000000,0.165307,46000000,3288000000,0.159627,697000000,2566000000,0.124575,,0.92,0.92,2931000000,2931000000
2012-12-31_Q2,22175000000,10880000000,11295000000,0.509357,,0,6803000000,0,895000000,6803000000,17683000000,169000000,,738000000,6106000000,0.275355,,4492000000,0.20257,895000000,5218000000,0.23531,1142000000,4057000000,0.182954,,1.39,1.39,2919000000,2919000000
