date,,,,,COST And EXPENSES,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,40950000000,17983000000,22967000000,0.560855,,0,9835000000,0,0,19435000000,37418000000,-1899000000,,7285000000,7602000000,0.185641,,3532000000,0.086252,865000000,2498000000,0.061001,935000000,1281000000,0.031282,,0.4593,0.4593,7170000000,7170000000
2020-03-31_Q1,42779000000,19281000000,23498000000,0.549288,,0,9701000000,0,26503000000,16012000000,35293000000,-2194000000,,7222000000,10940000000,0.255733,,7486000000,0.174992,973000000,6265000000,0.14645,1302000000,4610000000,0.107763,,0.58195,0.58195,7214000000,7214000000
2019-12-31_Q4,46821000000,22736000000,24085000000,0.514406,,0,10378000000,0,31155000000,18764000000,41500000000,2049000000,,6961000000,11838000000,0.252835,,5321000000,0.113646,-175000000,3138000000,0.067021,434000000,2394000000,0.051131,,0.56682,0.56682,7342000000,7342000000
2019-09-30_Q3,44588000000,20154000000,24434000000,0.547995,,0,9593000000,0,27103000000,16533000000,36687000000,2083000000,,6949000000,13669000000,0.306562,,7901000000,0.1772,-948000000,4886000000,0.109581,937000000,3700000000,0.082982,,0.52798,0.52798,7356000000,7356000000
2019-06-30_Q2,44957000000,20512000000,24445000000,0.543742,,0,9854000000,0,27613000000,16945000000,37457000000,2149000000,,7101000000,14062000000,0.312788,,7500000000,0.166826,-299000000,5073000000,0.112841,1099000000,3713000000,0.08259,,0.55132,0.55132,7353000000,7353000000
2019-03-31_Q1,44827000000,20739000000,24088000000,0.537355,,0,9665000000,0,27945000000,16855000000,37594000000,-2074000000,,7206000000,10251000000,0.228679,,7233000000,0.161354,212000000,5371000000,0.119816,1023000000,4096000000,0.091374,,0.59696,0.59696,7342000000,7342000000
2018-12-31_Q4,47993000000,23309000000,24684000000,0.514325,,0,10587000000,0,31247000000,18524000000,41833000000,2112000000,,7892000000,16195000000,0.337445,,6160000000,0.128352,1892000000,5745000000,0.119705,1333000000,4858000000,0.101223,,0.66312,0.66312,7334000000,7334000000
2018-09-30_Q3,45739000000,20706000000,25033000000,0.547301,,0,9598000000,0,28872000000,17764000000,38470000000,2051000000,,8166000000,16326000000,0.356938,,7269000000,0.158923,974000000,6207000000,0.135705,1391000000,4718000000,0.10315,,0.69,0.69,7320000000,7320000000
2018-06-30_Q2,38986000000,17458000000,21528000000,0.552198,,0,8596000000,0,23836000000,15062000000,32520000000,2023000000,,6378000000,15065000000,0.386421,,6466000000,0.165854,2235000000,6780000000,0.173909,1532000000,5132000000,0.131637,,0.87,0.87,6374000000,6374000000
2018-03-31_Q1,38038000000,17946000000,20092000000,0.528209,,0,7897000000,0,23940000000,13891000000,31837000000,-1663000000,,5994000000,10375000000,0.272754,,6201000000,0.163021,1603000000,6141000000,0.161444,1382000000,4662000000,0.122562,,0.79,0.79,6180000000,6180000000
2017-12-31_Q4,41676000000,21926000000,19750000000,0.473894,,0,9443000000,0,31317000000,18469000000,40395000000,1926000000,,6071000000,26886000000,0.645119,,1281000000,0.030737,-602000000,-1283000000,-0.030785,-148000000,19037000000,0.456786,,0.19,0.19,6180000000,6180000000
2017-09-30_Q3,39668000000,19169000000,20499000000,0.516764,,0,8590000000,0,24948000000,14692000000,33861000000,1686000000,,6042000000,12608000000,0.317838,,5807000000,0.14639,855000000,4974000000,0.125391,1851000000,3029000000,0.076359,,0.55,0.55,6182000000,6182000000
2017-06-30_Q2,39837000000,18605000000,21232000000,0.532972,,0,8523000000,0,24401000000,14706000000,33311000000,1395000000,,6147000000,13513000000,0.339207,,6526000000,0.163818,911000000,6070000000,0.152371,2056000000,3915000000,0.098275,,0.67,0.67,6184000000,6184000000
2017-03-31_Q1,39365000000,18110000000,21255000000,0.539947,,0,8734000000,0,24014000000,14899000000,33009000000,-1388000000,,6127000000,10012000000,0.254338,,6356000000,0.161463,410000000,5378000000,0.136619,1804000000,3469000000,0.088124,,0.58,0.58,6186000000,6186000000
2016-12-31_Q4,41841000000,21119000000,20722000000,0.495256,,0,9984000000,0,27609000000,16474000000,37593000000,1221000000,,6129000000,10463000000,0.250066,,4248000000,0.101527,0,3191000000,0.076265,676000000,2437000000,0.058244,,0.48,0.48,6183000000,6183000000
2016-09-30_Q3,40890000000,18890000000,22000000000,0.538029,,0,9013000000,0,25469000000,15592000000,34482000000,1224000000,,6579000000,12906000000,0.315627,,6408000000,0.156713,-34000000,5193000000,0.126999,1775000000,3328000000,0.081389,,0.57,0.57,6189000000,6189000000
2016-06-30_Q2,40520000000,18475000000,22045000000,0.544052,,0,8909000000,0,25051000000,15485000000,33960000000,1258000000,,6576000000,13148000000,0.324482,,6560000000,0.161895,12000000,5421000000,0.133786,1906000000,3408000000,0.084107,,0.57,0.57,6195000000,6195000000
2016-03-31_Q1,40535000000,18400000000,22135000000,0.546071,,0,8441000000,0,24963000000,15004000000,33404000000,-1165000000,,6563000000,11323000000,0.279339,,7131000000,0.175922,-3000000,6007000000,0.148193,2122000000,3803000000,0.09382,,0.64,0.64,6190000000,6190000000
2015-12-31_Q4,42119000000,19691000000,22428000000,0.532491,,0,8419000000,0,-62946000000,14896000000,34587000000,4120000000,,6477000000,16824000000,0.39944,,7532000000,0.178827,-113000000,6307000000,0.149742,2221000000,4006000000,0.095111,,0.65,0.65,6195000000,6195000000
2015-10-28_Q3,39091000000,27604000000,11487000000,0.293852805,,0,9107000000,0,23899000000,33006000000,60610000000,-1831000000,,-9274000000,-3189000000,0.311658612,,6085000000,0.170267262,1680000000,4897000000,0.144653992,1718000000,3179000000,0.095195987,,-1.2,-1.2,5204000000,5204000000
2015-09-30_Q3,39091000000,17796000000,21295000000,0.544755,,0,9107000000,0,0,15372000000,33168000000,-1148000000,,6265000000,9768000000,0.249878,,5923000000,0.151518,-40000000,4735000000,0.121128,1657000000,2994000000,0.076591,,0.5,0.5,5943000000,5943000000
2015-06-30_Q2,33015000000,15079000000,17936000000,0.543268,,0,7467000000,0,19836000000,12163000000,27242000000,932000000,,4696000000,10448000000,0.316462,,5773000000,0.17486,48000000,4922000000,0.149084,1738000000,3082000000,0.093352,,0.59,0.59,5220000000,5220000000
2015-03-31_Q1,32576000000,14480000000,18096000000,0.555501,,0,7961000000,0,19159000000,12539000000,27019000000,-899000000,,4578000000,8331000000,0.25574,,5557000000,0.170586,70000000,4728000000,0.145138,1389000000,3263000000,0.100166,,0.63,0.63,5219000000,5219000000
2014-12-31_Q4,34439000000,18456000000,15983000000,0.464096,,0,14765000000,0,25224000000,21452000000,39908000000,856000000,,4567000000,-871000000,-0.025291,,-5469000000,-0.158803,125000000,-6213000000,-0.180406,-2295000000,-3999000000,-0.116118,,-0.5,-0.5,5196000000,5196000000
2014-09-30_Q3,32957000000,14336000000,18621000000,0.565009,,0,8475000000,0,19080000000,13014000000,27350000000,1016000000,,4539000000,10129000000,0.30734,,5607000000,0.170131,53000000,4631000000,0.140516,1444000000,3130000000,0.094972,,0.6,0.6,5214000000,5214000000
2014-06-30_Q2,32575000000,14032000000,18543000000,0.56924,,0,8197000000,0,36700000000,12747000000,26779000000,1741000000,,4550000000,12503000000,0.383822,,5796000000,0.177928,1280000000,6286000000,0.19297,2553000000,3659000000,0.112325,,0.7,0.7,5257000000,5257000000
2014-03-31_Q1,32476000000,13321000000,19155000000,0.58982,,0,8260000000,0,17938000000,12877000000,26198000000,-3940000000,,4617000000,6246000000,0.192327,,6278000000,0.193312,156000000,5651000000,0.174005,1917000000,3652000000,0.112452,,0.7,0.7,5238000000,5238000000
2013-12-31_Q4,33163000000,12237000000,20926000000,0.631004,,0,4008000000,0,16917000000,8688000000,20925000000,1459000000,,4680000000,17210000000,0.518952,,12238000000,0.369026,226000000,11153000000,0.336309,4158000000,6913000000,0.208455,,1.31,1.31,5283000000,5283000000
2013-09-30_Q3,32158000000,13403000000,18755000000,0.583214,,0,7952000000,0,18018000000,12567000000,25970000000,829000000,,4615000000,10853000000,0.33749,,6188000000,0.192425,50000000,5500000000,0.171031,1595000000,3814000000,0.118602,,0.72,0.72,5331000000,5331000000
2013-06-30_Q2,32075000000,13270000000,18805000000,0.586282,,0,8121000000,0,17841000000,12692000000,25962000000,825000000,,4571000000,11132000000,0.347062,,6113000000,0.190585,288000000,5794000000,0.180639,1914000000,3822000000,0.119158,,0.71,0.71,5397000000,5397000000
2013-03-31_Q1,31356000000,12554000000,18802000000,0.59963,,0,8333000000,0,17083000000,12862000000,25416000000,-653000000,,4529000000,9133000000,0.291268,,5940000000,0.189437,43000000,5330000000,0.169983,1557000000,3700000000,0.118,,0.67,0.67,5530000000,5530000000
2012-12-31_Q4,32578000000,17555000000,15023000000,0.461139,,0,16409000000,0,21787000000,20981000000,38536000000,820000000,,4572000000,-1237000000,-0.03797,,-5958000000,-0.182884,12000000,-6551000000,-0.201087,-2772000000,-3857000000,-0.118393,,-0.68,-0.68,5660000000,5660000000
2012-09-30_Q3,31459000000,12602000000,18857000000,0.599415,,0,8308000000,0,17230000000,12820000000,25422000000,824000000,,4512000000,10712000000,0.340507,,6037000000,0.191901,47000000,5442000000,0.172987,1741000000,3635000000,0.115547,,0.63,0.63,5792000000,5792000000
2012-06-30_Q2,31575000000,12254000000,19321000000,0.611908,,0,8005000000,0,16868000000,12504000000,24758000000,941000000,,4499000000,11408000000,0.361298,,6817000000,0.215899,23000000,6031000000,0.191006,2066000000,3902000000,0.123579,,0.66,0.66,5876000000,5876000000
2012-03-31_Q1,31822000000,12817000000,19005000000,0.597228,,0,8344000000,0,17473000000,12904000000,25721000000,-645000000,,4560000000,9364000000,0.294262,,6101000000,0.191723,61000000,5517000000,0.173371,1865000000,3584000000,0.112626,,0.6,0.6,5940000000,5940000000
2011-12-31_Q4,32503000000,16611000000,15892000000,0.488939,,0,17399000000,0,24957000000,24882000000,41493000000,952000000,,4573000000,-4215000000,-0.12968,,-8990000000,-0.27659,203000000,-9690000000,-0.298126,-3062000000,-6678000000,-0.205458,,-0.46,-0.46,5919000000,5919000000
2011-09-30_Q3,31478000000,12656000000,18822000000,0.597941,,0,7969000000,0,17783000000,12587000000,25243000000,889000000,,4618000000,11029000000,0.350372,,6235000000,0.198075,46000000,5585000000,0.177426,1899000000,3623000000,0.115096,,0.65,0.65,5954000000,5954000000
2011-06-30_Q2,31495000000,12756000000,18739000000,0.594983,,0,7972000000,0,17934000000,12574000000,25330000000,848000000,,4602000000,10934000000,0.347166,,6165000000,0.195745,-3000000,5551000000,0.17625,1893000000,3591000000,0.114018,,0.6,0.6,5953000000,5953000000
2011-03-31_Q1,31247000000,12813000000,18434000000,0.589945,,0,8042000000,0,17987000000,12626000000,25439000000,-544000000,,4584000000,9250000000,0.296028,,5808000000,0.185874,6000000,5270000000,0.168656,1802000000,3408000000,0.109066,,0.57,0.57,5945000000,5945000000
2010-12-31_Q4,31361000000,13939000000,17422000000,0.555531,,0,10342000000,0,18878000000,15334000000,29273000000,746000000,,4907000000,7130000000,0.227352,,2088000000,0.06658,72000000,1547000000,0.049329,388000000,1089000000,0.034725,,0.29,0.29,5941000000,5941000000
2010-09-30_Q3,31581000000,13605000000,17976000000,0.569203,,0,7672000000,0,18410000000,12545000000,26150000000,729000000,,4873000000,11348000000,0.35933,,5431000000,0.17197,124000000,5043000000,0.159685,-6573000000,12319000000,0.390076,,1.94,1.94,5938000000,5938000000
2010-06-30_Q2,30808000000,12452000000,18356000000,0.595819,,0,7454000000,0,17199000000,12273000000,24725000000,752000000,,4819000000,11734000000,0.380875,,6083000000,0.197449,723000000,6247000000,0.202772,2160000000,4003000000,0.129934,,0.68,0.68,5937000000,5937000000
2010-03-31_Q1,30530000000,12383000000,18147000000,0.594399,,0,7396000000,0,17155000000,12176000000,24559000000,767000000,,4780000000,10863000000,0.355814,,5971000000,0.195578,-22000000,5401000000,0.176908,2863000000,2453000000,0.080347,,0.41,0.41,5935000000,5935000000
2010-02-25_FY,30858000000,37605000000,-6747000000,-0.218646704,,0,8182000000,0,17815000000,25997000000,-11608000000,798000000,,5015000000,9876000000,0.320046665,,4861000000,0.157528032,109000000,4357000000,0.141195152,0,3091000000,0.100168514,,2.12,2.12,6058018867,6058018867
2009-12-31_Q4,30708000000,12974000000,17734000000,0.577504,,0,8445000000,0,-102000000,8445000000,21419000000,-1350000000,,4901000000,12279000000,0.399863,,9289000000,0.302494,848000000,8787000000,0.286147,3254000000,5474000000,0.17826,,1.28,1.28,5928000000,5928000000
2009-11-05_Q3,30855000000,12885000000,17970000000,0.582401556,,0,7672000000,0,17795000000,25467000000,38352000000,853000000,,4910000000,10298000000,0.333754659,,5388000000,0.174623238,27000000,4743000000,0.153719008,0,3275000000,0.10614163,,1.61,1.61,5899000000,5899000000
2009-09-30_Q3,30734000000,12840000000,17894000000,0.582222,,0,7882000000,0,0,12698000000,25538000000,-670000000,,4881000000,8692000000,0.282814,,5196000000,0.169064,30000000,4556000000,0.14824,1397000000,3084000000,0.100345,,0.52,0.52,5989000000,5989000000
2009-08-05_Q2,30734000000,24720000000,6014000000,0.195679053,,0,7847000000,0,17381000000,25228000000,49948000000,879000000,,4903000000,10409000000,0.338680289,,5506000000,0.179150127,31000000,4889000000,0.15907464,0,3276000000,0.106592048,,1.07,1.07,5898000000,5898000000
2009-06-30_Q2,30614000000,12557000000,18057000000,0.589828,,0,7682000000,0,0,12557000000,25114000000,-645000000,,4847000000,9012000000,0.294375,,5500000000,0.179656,30000000,4885000000,0.159568,1612000000,3198000000,0.104462,,0.54,0.54,5922000000,5922000000
2009-05-06_Q1,30571000000,0,30571000000,1,,0,7706000000,0,17128000000,24834000000,24834000000,849000000,,4886000000,10623000000,0.34748618,,5737000000,0.187661509,-15000000,5010000000,0.163880802,0,3201000000,0.104707075,,0.53,0.53,5896000000,5896000000
2009-03-31_Q1,30457000000,12201000000,18256000000,0.599402,,0,7658000000,0,0,12516000000,24717000000,-709000000,,4886000000,9114000000,0.299242,,5740000000,0.188462,-15000000,5016000000,0.164691,1811000000,3126000000,0.102637,,0.53,0.53,5923000000,5923000000
2009-02-25_FY,31076000000,0,31076000000,1,,0,8211000000,0,17967000000,26178000000,26178000000,5967000000,,5044000000,9942000000,0.319925344,,4898000000,0.157613592,-498000000,3694000000,0.118869867,0,2404000000,0.077358733,,2.17,2.17,5929493087,5929493087
2008-12-31_Q4,30491000000,19764000000,10727000000,0.351809,,0,25748000000,0,0,30582000000,50346000000,-1344000000,,4834000000,-17553000000,-0.575678,,-19855000000,-0.651176,360000000,-20839000000,-0.683448,-11302000000,-9741000000,-0.319471,,-2.28,-2.28,5745000000,5745000000
2008-11-05_Q3,31342000000,0,31342000000,1,,0,7676000000,0,18048000000,25724000000,25724000000,-4296000000,,4978000000,10596000000,0.338076702,,5618000000,0.179248293,-81000000,4936000000,0.157488354,0,3230000000,0.103056601,,1.76,1.76,5938000000,5938000000
2008-09-30_Q3,31342000000,13022000000,18320000000,0.584519,,0,7724000000,0,0,12702000000,25724000000,-601000000,,4978000000,9312000000,0.297109,,5618000000,0.179248,-23000000,4994000000,0.159339,1705000000,3230000000,0.103057,,0.55,0.55,5921000000,5921000000
2008-06-30_Q2,30866000000,11897000000,18969000000,0.61456,,0,7444000000,0,17085000000,12402000000,24299000000,854000000,,4958000000,11695000000,0.378896,,6567000000,0.212758,29000000,5954000000,0.192898,2111000000,3772000000,0.122206,,0.63,0.63,5962000000,5962000000
2008-05-07_Q1,30744000000,0,30744000000,1,,0,8086000000,0,16678000000,24764000000,24764000000,865000000,,4903000000,10883000000,0.35398777,,5980000000,0.194509498,33000000,5391000000,0.175351288,0,3461000000,0.112574811,,0.58,0.58,5997000000,5997000000
2008-03-31_Q1,30744000000,11995000000,18749000000,0.609843,,0,7866000000,0,0,12769000000,24764000000,-622000000,,4903000000,9672000000,0.314598,,5980000000,0.194509,91000000,5449000000,0.177238,1930000000,3461000000,0.112575,,0.57,0.57,6033000000,6033000000
2008-02-26_FY,30349000000,0,30349000000,1,,0,7900000000,0,16957000000,24857000000,24857000000,868000000,,5223000000,10715000000,0.353059409,,5492000000,0.180961481,1000000,4772000000,0.157237471,0,3136000000,0.103331246,,1.95,1.95,6128717948,6128717948
2007-12-31_Q4,30349000000,11889000000,18460000000,0.608257,,0,7745000000,0,0,12968000000,24857000000,-721000000,,5223000000,9274000000,0.305578,,5492000000,0.180961,1000000,4772000000,0.157237,1636000000,3136000000,0.103331,,0.51,0.51,6095000000,6095000000
2007-09-30_Q3,30132000000,11736000000,18396000000,0.610514,,0,7770000000,0,16913000000,13092000000,24828000000,887000000,,5322000000,10771000000,0.357461,,5304000000,0.176025,-17000000,4562000000,0.151401,1499000000,3063000000,0.101653,,0.5,0.5,6129000000,6129000000
2007-06-30_Q2,29478000000,11828000000,17650000000,0.598752,,0,7290000000,0,16894000000,12706000000,24534000000,879000000,,5416000000,10697000000,0.362881,,4944000000,0.167718,162000000,4402000000,0.149332,1498000000,2904000000,0.098514,,0.46,0.46,6329000000,6329000000
2007-03-31_Q1,28969000000,11252000000,17717000000,0.611585,,0,7437000000,0,16868000000,13053000000,24305000000,873000000,,5616000000,10957000000,0.378232,,4664000000,0.161,469000000,4468000000,0.154234,1620000000,2848000000,0.098312,,0.45,0.45,6266000000,6266000000
2006-12-31_Q4,15891000000,7092000000,8799000000,0.55371,,0,3731000000,0,9200000000,6223000000,13315000000,465000000,,2492000000,5751000000,0.361903,,2576000000,0.162104,78000000,2794000000,0.175823,856000000,1938000000,0.121956,,0.5,0.5,3911000000,3911000000
2006-09-30_Q3,15638000000,6923000000,8715000000,0.557296,,0,3361000000,0,9022000000,5798000000,12721000000,442000000,,2437000000,6112000000,0.390843,,2917000000,0.186533,109000000,3233000000,0.20674,1068000000,2165000000,0.138445,,0.56,0.56,3892000000,3892000000
2006-06-30_Q2,15770000000,7163000000,8607000000,0.545783,,0,3517000000,0,9414000000,6003000000,13166000000,472000000,,2486000000,5655000000,0.358592,,2604000000,0.165124,15000000,2697000000,0.171021,889000000,1808000000,0.114648,,0.46,0.46,3905000000,3905000000
2006-03-31_Q1,15756000000,7364000000,8392000000,0.532622,,0,3709000000,0,9620000000,6201000000,13565000000,464000000,,2492000000,5113000000,0.324511,,2191000000,0.139058,11000000,2157000000,0.1369,712000000,1445000000,0.091711,,0.37,0.37,3902000000,3902000000
2005-12-31_Q4,12909000000,5856000000,7053000000,0.546363,,0,3715000000,0,8220000000,5921000000,11777000000,405000000,,2206000000,3700000000,0.286622,,1132000000,0.087691,3000000,1089000000,0.08436,-566000000,1655000000,0.128205,,0.46,0.46,3580000000,3580000000
2005-09-30_Q3,10304000000,4364000000,5940000000,0.576475,,0,2175000000,0,6235000000,3978000000,8342000000,349000000,,1803000000,3996000000,0.387811,,1962000000,0.190411,-70000000,1844000000,0.17896,598000000,1246000000,0.120924,,0.38,0.38,3306000000,3306000000
