date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,6036000000,4769000000,1267000000,0.209907,279000000,661000000,0,-15000000,940000000,5709000000,170000000,567000000,862000000,0.14281,327000000,0.054175,-34000000,150000000,0.024851,21000000,104000000,0.01723,0.10048,0.10048,1035000000,1035000000
2020-03-31_Q1,5985000000,4751000000,1234000000,0.206182,324000000,627000000,0,-54000000,951000000,5702000000,169000000,553000000,740000000,0.123642,283000000,0.047285,-73000000,70000000,0.011696,2000000,16000000,0.002673,0.01608,0.01608,995000000,995000000
2019-12-31_Q4,7384000000,5993000000,1391000000,0.18838,345000000,699000000,0,-12000000,1032000000,7025000000,170000000,577000000,894000000,0.121073,359000000,0.048619,29000000,174000000,0.023564,42000000,105000000,0.01422,0.10655,0.10655,900000000,900000000
2019-09-30_Q3,6303000000,5112000000,1191000000,0.188958,334000000,596000000,0,184000,930000000,6042000000,185568000,530851000,885419000,0.140476,261000000,0.041409,-6200000,176000000,0.027923,26000000,143000000,0.022688,0.15543,0.15543,920000000,920000000
2019-06-30_Q2,6349676000,5428630000,921046000,0.145054,323898000,647261000,0,117345000,1088504000,6517134000,171979000,578572000,361648000,0.056955,-167458000,-0.026373,-12456000,-369831000,-0.058244,19431000,-408334000,-0.064308,-0.34136,-0.34136,883270000,883270000
2019-03-31_Q1,4541464000,3975721000,565743000,0.124573,340174000,703929000,0,43471000,1087574000,5063295000,157453000,467577000,-54232000,-0.011942,-521831000,-0.114904,-13350000,-644772000,-0.141974,22873000,-702135000,-0.154605,-3.8955,-3.8955,172989000,172989000
2018-12-31_Q4,7225900000,5783000000,1442900000,0.199684,356300000,667500000,0,5615000,1029300000,6812300000,174723000,496800000,832923000,0.115269,413500000,0.057225,-22300000,232000000,0.032107,21900000,139500000,0.019306,0.84,0.84,172000000,172000000
2018-09-30_Q3,6824400000,5300700000,1523700000,0.223272,350800000,729900000,0,26184000,1107000000,6407700000,175220000,502800000,1006120000,0.14743,416800000,0.061075,35700000,271300000,0.039754,16600000,311500000,0.045645,1.89,1.89,178200000,178200000
2018-06-30_Q2,4002200000,3383300000,618900000,0.15464,386100000,750800000,0,103434000,1240300000,4623600000,163582000,485300000,-54918000,-0.013722,-621400000,-0.155265,9400000,-729000000,-0.18215,13700000,-717500000,-0.179276,-3.83,-3.83,170000000,170000000
2018-03-31_Q1,3408800000,2952200000,456500000,0.133918,367100000,686400000,0,-37716000,1053500000,4005700000,149546000,416200000,-138254000,-0.040558,-597000000,-0.175135,10000000,-779000000,-0.228526,5600000,-709600000,-0.208167,-4.19,-4.19,169100000,169100000
2017-12-31_Q4,3288200000,2849500000,438800000,0.133447,354600000,682300000,0,-41677000,1036900000,3886400000,146363000,469600000,-791137000,-0.240599,-598100000,-0.181893,-129900000,-779900000,-0.237181,-731700000,-675400000,-0.205401,0.28,0.28,168300000,168300000
2017-09-30_Q3,2984700000,2535500000,449100000,0.150467,331600000,653000000,0,-24390000,984700000,3520200000,117109000,400600000,-101991000,-0.034171,-535500000,-0.179415,-17900000,-671400000,-0.224947,-300000,-619400000,-0.207525,-3.7,-3.7,167300000,167300000
2017-06-30_Q2,2789600000,2122900000,666600000,0.238959,369800000,537800000,0,-41208000,907600000,3030500000,108441000,389200000,176841000,0.063393,-240900000,-0.086356,-16900000,-385800000,-0.138299,15600000,-336400000,-0.120591,-2.04,-2.04,165200000,165200000
2017-03-31_Q1,2696300000,2028300000,667900000,0.24771,322000000,603500000,0,-18098000,925500000,2953800000,99346000,376600000,170946000,0.0634,-257500000,-0.095501,-13000000,-371900000,-0.13793,25300000,-330300000,-0.122501,-2.04,-2.04,162100000,162100000
2016-12-31_Q4,2284600000,1849400000,435300000,0.190537,246000000,456000000,0,121224000,701900000,2551300000,65104000,326900000,281804000,0.123349,-266700000,-0.116738,99000000,-208400000,-0.091219,11100000,-121300000,-0.053095,-0.78,-0.78,155100000,155100000
2016-09-30_Q3,2298400000,1661700000,636700000,0.277019,214300000,336800000,0,-11756000,551100000,2212800000,46713000,280500000,357213000,0.155418,85600000,0.037243,-11800000,30000000,0.013053,8100000,21900000,0.009528,0.14,0.14,156900000,156900000
2016-06-30_Q2,1270000000,995200000,274800000,0.216378,191700000,321200000,0,-7373000,512900000,1508100000,46368000,183200000,-60032000,-0.047269,-238000000,-0.187402,-7400000,-289500000,-0.227953,3600000,-293200000,-0.230866,-2.09,-2.09,140000000,140000000
2016-03-31_Q1,1147000000,894600000,252500000,0.220139,182500000,318200000,0,9177000,500700000,1395300000,40625000,156500000,-81375000,-0.070946,-248200000,-0.216391,9200000,-278400000,-0.24272,3800000,-282300000,-0.24612,-2.13,-2.13,132700000,132700000
2015-12-31_Q4,1214400000,995800000,218600000,0.180007,190200000,288700000,0,-17149000,478900000,1474700000,38617000,143700000,-133083000,-0.109587,-260300000,-0.214345,-17100000,-315300000,-0.259634,5000000,-320400000,-0.263834,-2.44,-2.44,131100000,131100000
2015-09-30_Q3,936800000,705300000,231500000,0.247118,178800000,236400000,0,-15431000,415200000,1120500000,29308000,110400000,-88392000,-0.094355,-183700000,-0.196093,-15500000,-228100000,-0.243488,1800000,-229900000,-0.24541,-1.78,-1.78,129000000,129000000
2015-06-30_Q2,955000000,741600000,213400000,0.223455,181700000,201800000,0,13233000,383600000,1125200000,24352000,91400000,-65248000,-0.068323,-170200000,-0.17822,13200000,-181100000,-0.189634,3200000,-184200000,-0.19288,-1.45,-1.45,126700000,126700000
2015-03-31_Q1,939900000,679800000,260100000,0.276732,167200000,195400000,0,-22305000,362500000,1042300000,26574000,77100000,-47526000,-0.050565,-102400000,-0.108948,-22300000,-151100000,-0.160762,3000000,-154200000,-0.16406,-1.22,-1.22,125900000,125900000
2014-12-31_Q4,956700000,695000000,261700000,0.273544,139600000,197000000,0,-588000,336500000,1031500000,28703000,67900000,-7297000,-0.007627,-74800000,-0.078185,-600000,-103900000,-0.108602,3700000,-107600000,-0.11247,-0.86,-0.86,125500000,125500000
2014-09-30_Q3,851800000,600000000,251900000,0.295727,135900000,155100000,0,-3091000,290900000,890900000,29061000,65000000,23061000,0.027073,-39100000,-0.045903,-5600000,-71000000,-0.083353,3700000,-74700000,-0.087697,-0.6,-0.6,124900000,124900000
