date,,,,,,COST And EXPENSES,,,,,,,,,EBITDA,,,,INCOME,,,,,,,,,EPS,,,,
,revenue,costOfRevenue,grossProfit,grossProfitRatio,,,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,,,depreciationAndAmortization,EBITDA,EBITDARatio,,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,30447000000,11749000000,18698000000,0.614116,,,0,7156000000,0,15930000000,11490000000,23239000000,1089000000,,,4181000000,11318000000,0.371728,,7208000000,0.236739,65000000,6187000000,0.203206,1348000000,4700000000,0.154367,,1.16445,1.16445,4139000000,4139000000
2020-03-31_Q1,31610000000,12296000000,19314000000,0.611009,,,0,7390000000,0,16446000000,12917000000,25213000000,1034000000,,,4150000000,10729000000,0.339418,,6397000000,0.202373,305000000,5676000000,0.179563,1389000000,4156000000,0.131477,,1.25478,1.25478,4141000000,4141000000
2019-12-31_Q4,34775000000,15631000000,19144000000,0.55051,,,0,8010000000,0,19922000000,14496000000,30127000000,1159000000,,,4105000000,8854000000,0.254608,,4648000000,0.133659,191000000,3712000000,0.106743,-1505000000,5095000000,0.146513,,1.6045,1.6045,4140000000,4140000000
2019-09-30_Q3,32894000000,13384000000,19510000000,0.593117,,,0,7216000000,0,17498000000,11621000000,25005000000,1146000000,,,4114000000,12040000000,0.366024,,7889000000,0.239831,147000000,6923000000,0.210464,1586000000,5194000000,0.157901,,1.30878,1.30878,4140000000,4140000000
2019-06-30_Q2,32071000000,12721000000,19350000000,0.603349,,,0,7268000000,0,16953000000,13044000000,25765000000,1215000000,,,4232000000,10627000000,0.331359,,6306000000,0.196626,201000000,5310000000,0.16557,1236000000,3944000000,0.122977,,1.23909,1.23909,4139000000,4139000000
2019-03-31_Q1,32128000000,12990000000,19138000000,0.59568,,,0,7198000000,0,17221000000,11333000000,24323000000,1210000000,,,4231000000,12101000000,0.37665,,7805000000,0.242935,170000000,6788000000,0.21128,1628000000,5032000000,0.156624,,1.19783,1.19783,4140000000,4140000000
2018-12-31_Q4,34281000000,15291000000,18990000000,0.553951,,,0,7405000000,0,24234000000,16700000000,31991000000,1199000000,,,4352000000,6792000000,0.198127,,2290000000,0.066801,179000000,1367000000,0.039876,-698000000,1939000000,0.056562,,1.24445,1.24445,4141000000,4141000000
2018-09-30_Q3,32607000000,13331000000,19276000000,0.591161,,,0,7094000000,0,17708000000,11623000000,24954000000,1211000000,,,4377000000,12125000000,0.371853,,7653000000,0.234704,211000000,6675000000,0.204711,1613000000,4924000000,0.151011,,1.22,1.22,4140000000,4140000000
2018-06-30_Q2,32203000000,13328000000,18875000000,0.586126,,,0,7010000000,0,17981000000,12258000000,25586000000,1222000000,,,4350000000,10973000000,0.340745,,6617000000,0.205478,340000000,5527000000,0.17163,1281000000,4120000000,0.127938,,1.16,1.16,4139000000,4139000000
2018-03-31_Q1,31772000000,13255000000,18517000000,0.582809,,,0,6739000000,0,17579000000,11417000000,24672000000,1201000000,,,4324000000,11458000000,0.360632,,7100000000,0.223467,158000000,6054000000,0.190545,1388000000,4545000000,0.14305,,1.17,1.17,4107000000,4107000000
2017-12-31_Q4,33955000000,15387000000,18568000000,0.546841,,,0,7876000000,0,-948000000,14682000000,30069000000,1219000000,,,4456000000,25256000000,0.743808,,3886000000,0.114446,248000000,2934000000,0.086408,912000000,18669000000,0.549816,,0.9,0.9,4092000000,4092000000
2017-09-30_Q3,31717000000,12974000000,18743000000,0.590945,,,0,7317000000,0,37456000000,12209000000,25183000000,1164000000,,,4272000000,10831000000,0.341489,,6534000000,0.206009,140000000,5511000000,0.173755,1775000000,3620000000,0.114134,,0.99,0.99,4089000000,4089000000
2017-06-30_Q2,30548000000,12484000000,18064000000,0.591332,,,0,6903000000,0,16277000000,10050000000,22534000000,1218000000,,,4167000000,12236000000,0.40055,,8014000000,0.262341,179000000,6967000000,0.228067,2489000000,4362000000,0.142792,,0.91,0.91,4087000000,4087000000
2017-03-31_Q1,29814000000,12047000000,17767000000,0.595928,,,0,6872000000,0,15725000000,11653000000,23700000000,1132000000,,,4059000000,10270000000,0.344469,,6114000000,0.205071,207000000,5182000000,0.173811,1629000000,3450000000,0.115717,,0.97,0.97,4087000000,4087000000
2016-12-31_Q4,32340000000,14362000000,17978000000,0.555906,,,0,7557000000,0,18349000000,9955000000,24317000000,1137000000,,,3987000000,11968000000,0.370068,,8023000000,0.248083,81000000,6949000000,0.214873,2349000000,4495000000,0.138992,,0.84,0.84,4086000000,4086000000
2016-09-30_Q3,30937000000,12229000000,18708000000,0.604713,,,0,7429000000,0,16171000000,12168000000,24397000000,1038000000,,,3942000000,10429000000,0.337104,,6540000000,0.211397,81000000,5576000000,0.180237,1829000000,3620000000,0.117012,,1.02,1.02,4086000000,4086000000
2016-06-30_Q2,30532000000,12221000000,18311000000,0.599731,,,0,7232000000,0,16203000000,15557000000,27778000000,1013000000,,,3982000000,6561000000,0.214889,,2754000000,0.0902,-37000000,1695000000,0.055516,864000000,702000000,0.022992,,0.69,0.69,4085000000,4085000000
2016-03-31_Q1,32171000000,12612000000,19559000000,0.60797,,,0,7577000000,0,16629000000,11617000000,24229000000,1188000000,,,4017000000,11851000000,0.368375,,7942000000,0.246868,17000000,6766000000,0.210314,2336000000,4310000000,0.133972,,1.06,1.06,4085000000,4085000000
2015-12-31_Q4,34254000000,14707000000,19547000000,0.570649,,,0,5764000000,0,18746000000,9803000000,24510000000,1178000000,,,4039000000,13673000000,0.399165,,9744000000,0.284463,28000000,8578000000,0.250423,3065000000,5391000000,0.157383,,1.32,1.32,4087000000,4087000000
2015-09-30_Q3,33158000000,13305000000,19853000000,0.598739,,,0,8309000000,0,17314000000,12318000000,25623000000,1202000000,,,4009000000,11444000000,0.345135,,7535000000,0.227245,37000000,6366000000,0.19199,2195000000,4038000000,0.121781,,0.99,0.99,4078000000,4078000000
2015-06-30_Q2,32224000000,12449000000,19775000000,0.613673,,,0,7974000000,0,16429000000,11954000000,24403000000,1208000000,,,3980000000,11693000000,0.362866,,7821000000,0.242707,-11000000,6627000000,0.205654,2274000000,4231000000,0.1313,,1.04,1.04,4085000000,4085000000
2015-03-31_Q1,31984000000,12096000000,19888000000,0.621811,,,0,7939000000,0,16085000000,11928000000,24024000000,1332000000,,,3989000000,11871000000,0.371154,,7960000000,0.248874,32000000,6669000000,0.208511,2331000000,4219000000,0.13191,,1.02,1.02,4121000000,4121000000
2014-12-31_Q4,33192000000,14403000000,18789000000,0.56607,,,0,16857000000,0,18471000000,21425000000,35828000000,1282000000,,,4068000000,1381000000,0.041606,,-2636000000,-0.079417,27000000,-3886000000,-0.117076,-1738000000,-2231000000,-0.067215,,-0.46,-0.46,4160000000,4160000000
2014-09-30_Q3,31586000000,12252000000,19334000000,0.612107,,,0,8277000000,0,16419000000,12444000000,24696000000,1255000000,,,4167000000,10981000000,0.347654,,6890000000,0.218135,43000000,5658000000,0.17913,1864000000,3695000000,0.116982,,0.87,0.87,4159000000,4159000000
